상호명,도로명주소,전화번호,위도,경도,동구분
아트케이크,"인천광역시 연수구 인천타워대로 257, 아트포레 A동 A-216호 (송도동)",,37.39351506,126.6321878,송도동
고밀제과,"인천광역시 연수구 컨벤시아대로 50, 158호 (송도동, 푸르지오월드마크)",,37.39800788,126.6511249,송도동
프랑세즈 단팥빵 동춘점,"인천광역시 연수구 봉재산로36번안길 22, 행복하우스 1층 일부호 (동춘동)",,37.40863945,126.664932,동춘동
하나스두 케이크 아뜰리에(Hanasdoux cake atelier),"인천광역시 연수구 하모니로 158, 송도타임스페이스 C-315호 (송도동)",,37.38419018,126.6421469,송도동
라닝케이크,"인천광역시 연수구 인천타워대로132번길 9, 롯데몰 송도 캐슬파크 212호 (송도동)",,37.38467593,126.6411413,송도동
봉블레(Bon Ble),"인천광역시 연수구 청량로70번길 14-7, 지상2층 (동춘동)",,37.41537293,126.6586272,동춘동
식빵공장(동춘점),"인천광역시 연수구 먼우금로83번길 12, 상가동 144호 (동춘동, 건영아파트)",,37.40778509,126.6687872,동춘동
너구리베이크샵,"인천광역시 연수구 샘말로 95-7, 1층 일부호 (연수동)",,37.41523062,126.680715,연수동
로플로플 송도점,"인천광역시 연수구 송도과학로27번길 55, 302동 D-105호 (송도동, 롯데캐슬 캠퍼스타운)",,37.38803691,126.6642625,송도동
송사부수제쌀고로케 이마트연수점,"인천광역시 연수구 경원대로 184, 이마트 1층 (동춘동)",,37.40421886,126.6811196,동춘동
마농베이커리,"인천광역시 연수구 아트센터대로 131, 커낼워크D2 SUMMER 202동 150호 (송도동)",,37.39935875,126.6368956,송도동
코코호도 송도퍼스트파크점,"인천광역시 연수구 컨벤시아대로230번길 54, 지상1층 A115호 (송도동)",,37.38874008,126.6343345,송도동
루시카토 인천스퀘어원점,"인천광역시 연수구 청능대로 210, 스퀘어원 지상3층 일부호 (동춘동)",,37.40599741,126.6836222,동춘동
키토빵앗간,"인천광역시 연수구 송도과학로28번길 8, 더샵 송도트리플타워 East 지상1층 147호 (송도동)",,37.38246176,126.6606641,송도동
