상호명,도로명주소,위도,경도,동구분
우성한식,"인천광역시 연수구 원인재로 180 (연수동, 우성아파트상가 지층27호)",37.4131148,126.6796261,연수동
촌장쌈생고기,"인천광역시 연수구 샘말로44번길 7 (연수동, 2동 지상1층)",37.41346093,126.6784596,연수동
오사카부루스(연수점),"인천광역시 연수구 샘말로21번길 14-18, 지상1층 (연수동)",37.40745,126.6716435,연수동
이가네,"인천광역시 연수구 벚꽃로158번길 48 (연수동,2동(지상1층))",37.41429587,126.6790188,연수동
이자까야류,"인천광역시 연수구 샘말로44번길 10 (연수동,지상1층)",37.42671002,126.6690572,연수동
부원집,"인천광역시 연수구 샘말로8번길 7-10 (연수동,2동(지상1층))",37.4182099,126.672347,연수동
야생골뱅이,"인천광역시 연수구 샘말로61번길 15, 2동 지상1층 (연수동)",37.42422676,126.6974928,연수동
홍콩반점,"인천광역시 연수구 계림로112번길 22, 지상1층 (청학동)",37.42528754,126.6850912,청학동
청화루,"인천광역시 연수구 용담로50번길 28 (청학동,(지상1층))",37.41762926,126.6772291,청학동
휠링,"인천광역시 연수구 용담로50번길 28 (청학동,(지상1층))",37.4267944,126.6672147,청학동
단골식당,"인천광역시 연수구 비류대로291번길 9, 지상1층 (청학동)",37.41297951,126.679483,청학동
베테랑 종합어시장,"인천광역시 연수구 벚꽃로 106, 연수광장프라자 202-1호 (청학동)",37.42537093,126.6845055,청학동
김밥천국,"인천광역시 연수구 함박로 66 (연수동,지상1층)",37.41385443,126.6542457,연수동
원양참치,"인천광역시 연수구 함박로 72, 지상1층 (연수동)",37.41310319,126.654818,연수동
취안,"인천광역시 연수구 함박로92번길 7 (연수동,지상1층)",37.4182099,126.672347,연수동
가나안덕 송도점,"인천광역시 연수구 앵고개로87번길 2 (동춘동, 지상1층)",37.41606182,126.6552498,동춘동
정윤기 황칠낙지,"인천광역시 연수구 앵고개로87번길 33 (동춘동, 지상1층)",37.41201926,126.6785313,동춘동
종가집게장,"인천광역시 연수구 능허대로267번길 18 (동춘동,1동(지상1층))",37.42613937,126.6604972,동춘동
읻시(ici),"인천광역시 연수구 청량로97번길 23 (동춘동,1동(지상1층))",37.42390059,126.6444308,동춘동
코러스라인,"인천광역시 연수구 청량로 93, 지상2층 (동춘동)",37.41745812,126.6560223,동춘동
서해황태전문점,"인천광역시 연수구 청량로102번길 3 (옥련동,(지상1층))",37.42431935,126.6855949,옥련동
