상호명,도로명주소,전화번호,위도,경도
GS25마스터뷰21호점,"인천광역시 연수구 컨벤시아대로274번길 55, 1층 3호 (송도동, 송도 더샵 마스터뷰 21BL)",,37.385287,126.630334
씨유 청학비류점,"인천광역시 연수구 비류대로239번길 19, 1층 일부호 (청학동)",,37.4277125,126.6619
지에스(GS25) 송도웰카운티점,"인천광역시 연수구 해송로 70, 230동 1층 6호 일부호 (송도동, 송도웰카운티2단지)",,37.3791777,126.650467
세븐일레븐 연수함박로점,"인천광역시 연수구 함박로 36, 1층 (연수동)",,37.4256126,126.681071
씨유 송도자이점,"인천광역시 연수구 컨벤시아대로130번길 58, 상가B동 1층 107호 일부호 (송도동, 송도자이하버뷰1단지아파트)",,37.396191,126.641617
GS25 송도마리나베이점,"인천광역시 연수구 랜드마크로 160, 더샵송도 마리나베이 근린생활시설-1동 106호 (송도동)",,37.41464,126.612358
세븐일레븐 연수능안점,"인천광역시 연수구 학나래로5번길 2, 1층 (선학동)",,37.4237702,126.696477
이마트24 인천적십자병원점,"인천광역시 연수구 원인재로 263, 인천적십자병원 1층 (연수동)",,37.4184452,126.689562
씨유 송도마리나베이점,"인천광역시 연수구 랜드마크로 160, 근린생활시설 2동 1층 106호,107호 (송도동, 더샵 송도 마리나베이)",,37.414024,126.612269
이마트24 R스퀘어원점,"인천광역시 연수구 청능대로 210, 스퀘어원 1층 (동춘동)",,37.4059596,126.683684
세븐일레븐 선학뉴서울점,"인천광역시 연수구 선학로 101, 상가동 114호 (선학동, 뉴서울1차아파트)",,37.4250048,126.700076
이마트24R 연수사랑점,"인천광역시 연수구 선학로 37, 태산정광대진아파트 상가동 106,107,113,114호 (선학동)",,37.4217231,126.699298
이마트24 송도아라점,"인천광역시 연수구 컨벤시아대로230번길 42, 송도아라플라자 1층 107호 (송도동)",,37.3881584,126.634831
이마트24R 연수소망,"인천광역시 연수구 함박로 13-1, 1층 (연수동)",,37.4259843,126.678606
세븐일레븐 송도그린워크점,"인천광역시 연수구 컨벤시아대로130번길 100, 송도 더샵 그린워크 3차 상가동 103호 (송도동, 송도 더샵 그린워크 3차)",,37.398675,126.639499
세븐일레븐 선학역점,"인천광역시 연수구 경원대로467번길 3, 대영빌딩 1층 (선학동)",,37.42582,126.698231
세븐일레븐 연수푸른점,"인천광역시 연수구 함박로 58, 1층 (연수동)",,37.4254122,126.683602
세븐일레븐 연수프라자점,"인천광역시 연수구 먼우금로 190, 연수프라자 112호 (연수동)",,37.4140407,126.676692
씨유 연수영남점,"인천광역시 연수구 먼우금로252번길 31, 1층 (연수동)",,37.4190083,126.68111
세븐일레븐 송도월드마크1단지점,"인천광역시 연수구 컨벤시아대로 50, 푸르지오월드마크 126일부호 (송도동, 푸르지오월드마크)",,37.3980026,126.651396
GS25 포스코이앤씨타워점,"인천광역시 연수구 인천타워대로 241, 부영송도타워 지하1층 일부호 (송도동)",,37.3923103,126.63428
씨유 송도라마다점,"인천광역시 연수구 능허대로267번길 12, 1층 일부호 (동춘동)",,37.4130676,126.654511
이마트24 송도랜드마크시티점,"인천광역시 연수구 랜드마크로 68, 랜드마크시티센트럴더샵 301동 1층 70호 (송도동, 랜드마크시티센트럴더샵)",,37.414903,126.618385
미니스톱 연수원룸점,"인천광역시 연수구 함박로4번길 40, 1층 일부호 (연수동)",,37.4246212,126.680985
세븐일레븐 인천송도2호점,"인천광역시 연수구 능허대로 209-1, 1층 일부호 (옥련동)",,37.4171466,126.650573
씨유 송도랜드마크시티1호점,"인천광역시 연수구 랜드마크로 68, 랜드마크시티센트럴더샵 301동 11일부호 (송도동, 랜드마크시티센트럴더샵)",,37.416283,126.622596
이마트24R 인천선학점,"인천광역시 연수구 넘말로55번길 13, 1층 일부호 (선학동)",,37.4298153,126.696215
세븐일레븐 인천청학점,"인천광역시 연수구 용담로85번길 9, 석광프라자 1층 일부호 (청학동)",,37.4171634,126.675312
씨유 송도랜드마크시티2호점,"인천광역시 연수구 랜드마크로 68, 랜드마크시티센트럴더샵 401동 110일부호 (송도동, 랜드마크시티센트럴더샵)",,37.414695,126.619602
이마트24R 연수우성점,"인천광역시 연수구 원인재로 180, 상가동 103-6일부호 (연수동, 연수우성2차아파트)",,37.4117929,126.685083
세븐일레븐 송도스마트밸리점,"인천광역시 연수구 송도미래로 30, 송도 BRC 스마트밸리 지식산업센터 에프동 220일부호 (송도동)",,37.3666202,126.648358
세븐일레븐 인천연수현대점,"인천광역시 연수구 옥련로 33, 1층 104 일부호 (옥련동, 현대1차아파트)",,37.4281176,126.64346
